name,price,category
양념목전지,39500,육가공품
소분파우더,2000,분말류
통파우더,18650,분말류
요거트 소스,28000,소스류(냉장)
크림어니언 소스,28000,소스류(냉장)
핫칠리 소스,35300,소스류(냉장)
간장 소스,26950,소스류(상온)
양념 소스,26180,소스류(상온)
마라 소스,32500,소스류(상온)
파채 소스,25000,소스류(냉장)
콘샐러드,20000,샐러드
양배추채,5000,과채가공품
김치볶음밥믹스,9000,과채가공품
김치볶음밥,12500,즉석식품
떡볶이(분말포함),10600,즉석식품
떡볶이 분말,90000,분말류
파채,3000,과채가공품
양파채,3000,과채가공품
벨리푸드 밀크 모짜렐라 치즈볼,16000,냉동튀김류
얼음,4000,얼음류
훼밀리푸드 치킨무 벌크,5750,무절임류
훼밀리푸드 치킨무 개별포장,17900,무절임류
[CJ] 오뚜기 케찹,6000,소스
[CJ] 오쉐프 마요네즈,10877,소스
오뚜기 골드 마요네즈,12990,소스
상상 어니언갈릭 시즈닝,13700,분말조미료
"떡볶이 떡(밀, 소) [튀김떡] BOX",28800,밀떡
"떡볶이 떡(쌀, 중) [떡볶이떡]",31000,쌀떡
업소용 청해맛돌이 김가루1kg,23400,김토핑
치킨소금,2750,가공염
[다봄] 해표 참기름,17980,유지류
[다봄] 한식품 고추맛기름,6680,유지류
시아스 불맛 화유 5개,36800,유지류
매직칠리 향취고추,59100,과자류토핑
코카콜라 355ml,21070,탄산음료
코카콜라 제로 355ml,20560,탄산음료
펩시제로 355ml,16000,탄산음료
스프라이트 355ml,15000,탄산음료
스프라이트 제로 355ml,15000,탄산음료
닥터페퍼 제로 355ml,15540,탄산음료
환타파인 355ml,15500,탄산음료
트레비 탄산수 190ml,21000,탄산음료
[이마트] 피코크 진저에일 250ml,3000,탄산음료
참이슬,40000,소주
처음처럼,40000,소주
진로,40000,소주
새로,40000,소주
테라생,70000,맥주
카스,50000,맥주
켈리,50000,맥주
버드와이저,0,맥주
에반윌리엄스,31300,위스키
페이머스글라우스,30000,위스키
[우양] 레몬 슬라이스 (냉동) 500g x 3,18900,과일류
[우양] 라임 슬라이스 (냉동) 500g x 3,12900,과일류
[메가] 1883 레몬 시럽,16000,시럽
[메가] 1883 라임 시럽,16000,시럽
[메가] 포모나 스모키 얼그레이 시럽,15300,시럽
"롤 쓰레기 비닐봉투 30p, 10L, 10개",10900,비닐류
치킨트레이-디자인(중),18480,종이용기
치킨 트레이 (소),43800,종이용기
[배민] 치킨트레이(반반),16800,종이용기
반투명비닐쇼핑백 봉투(4호),33000,비닐류
PP EL 국물용기 105파이 중,49000,플라스틱용기
소스용기 75파이 소,70880,플라스틱용기
소스용기 70파이 소,43500,플라스틱용기
"일회용 죽용기 중 (떡볶이,볶음밥 용기)",25600,플라스틱용기
딱돼지 스티커,20000,스티커
딱돼지 깃발,170000,깃발
미니무지 1매용 물티슈 S43,30900,위생용품
500ml 음료수 전용 1구 포장 비닐,2100,비닐류
[다봄] 니트릴 장갑(소),4780,장갑류
[다봄] 니트릴 장갑(중),4780,장갑류
[다봄] 니트릴 장갑(대),4780,장갑류
코멧 도톰한 엠보싱 위생장갑,8490,장갑류
탐사 깨끗한 플러스 키친타월,14490,위생용품
오프라이스 3겹 천연펄프 화장지 30m,13390,위생용품
[배민] 고급 젓가락(크라프트),22500,수저
일회용수저 개별 (뜯을필요없는숟가락/흑색/CN),23900,수저
일회용 일반 비닐 식탁보,12500,비닐류
아이템셀 튜립Lady 고무장갑,15210,장갑류
고무나라 고무밴드 1kg 70 x 1.5 mm (고무줄),8100,고무류
식용유 정제기 필터 322 x 487mm  (3구용),26000,종이필터류
식용유 정제기 필터 322X382 (2구용),25000,종이필터류
오공 물레방아 리필용 문구테이프 16mm x 25m,18000,테이프
콘샐러드(낱개),400,샐러드
핫칠리 소스 (낱개),200,기타
떡볶이 분말 (봉),42000,분말류
떡볶이(분말미포함),6600,즉석식품
내유 종이봉투-1호(무지/크라프트),36500,종이용기
생맥주용기 1000cc,29500,플라스틱용기
어묵(슬라이스),12000,수산가공품
크레잇 롱오리지널츄러스,10560,냉동튀김류
이든 시나몬설탕,5610,기타
[CJ] 황등농협_온미 쌀,39700,곡류
[배민] 스티커 - 고객님을 위한 써비스,15100,스티커
통파우더(벌크),14850,분말류
크라프트 1300cc 종이용기 세트,66000,종이용기
손글씨 스티커,39600,스티커
"탐사 샘물, 500ml, 80개 (생수)",15000,기타
[CJ] 세척특란 30입 x 5 (계란),28000,알류
포스용지 79x70 50롤 감열지 (영수증),37000,기타
심플로트 블루리본 슈스트링 프라이 감자튀김,49830,냉동감자튀김
핫양념 소스,26180,소스류(상온)
상상 시나몬 슈가,10000,분말조미료
크노르 치킨파우더 (치킨스톡) BOX,72000,분말조미료
[CJ] 황금찬 대두유 식용유(18L),36000,유지류
[다봄] 삼도 튀긴마늘 후레이크,7280,건야채
"[다봄] 양배추 3개입 (42망,대,국내산)",12990,채소류
[다봄] 깐 양파 10kg,21990,채소류
[다봄] 특란 30알 (계란),30000,알류
오뚜기 마가린(파운드 450g) BOX,33400,유지류
500ml 음료수 전용 1구 포장 비닐 (5000매),105000,비닐류
디오 눈꽃치즈 엔젤헤어 MCF64(모짜60/체다40) BOX,125400,유가공품
[CJ] 청양고추,6630,채소류
스리라차마요 소스,32000,소스류(냉장)
[새봄] 사옹원 우유튀김,10980,냉동튀김류
[새봄] 사옹원 김말이 튀김,6280,냉동튀김류
쌀 20kg,47000,곡류
[다봄] 대두유 식용유 18L,37620,유지류
마가린(낱개),2180,유지류
신영 파슬리가루,6380,향신료
크노르 치킨파우더 (치킨스톡),12000,분말조미료
[새봄] 만복 당면 야끼만두,7120,냉동튀김류
덮밥소스,30000,소스류(냉장)
[CJ] 청양고추,3900,채소류
목장갑 100묶음,15470,장갑류
딱돼지 깃발 (소량),18000,깃발
[담다] 헤드온 빵가루 새우튀김 10미,3200,냉동튀김류
[담다] 사옹원 매콤오징어 튀김 1kg,12450,냉동튀김류
"떡볶이 떡(쌀, 중) [떡볶이떡] (낱개)",3500,쌀떡
사이드박스,50000,종이용기
돼지갈비육수,5000,소스류(냉장)
3M 산가측정지,17000,위생용품
반반트레이(신형),53000,종이용기
통파우더(박스),59400,분말류
